Posi��o;Nome;Localidade;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Unidade;Multiplicador
1;Unidades locais;Adamantina;1379;1493;1818;1922;1899;1787;1767;1862;2036;1926;1909;1856;1831;unidades;1
1;Unidades locais;Adolfo;98;91;103;116;109;111;96;110;107;96;93;77;77;unidades;1
1;Unidades locais;Aguaí;838;876;789;1017;1023;1322;1094;1086;926;914;927;914;913;unidades;1
1;Unidades locais;Águas da Prata;223;210;240;245;301;314;276;331;268;294;248;256;285;unidades;1
1;Unidades locais;Águas de Lindóia;1011;966;957;965;951;933;955;1002;1005;957;958;889;923;unidades;1
1;Unidades locais;Águas de Santa Bárbara;178;186;181;260;266;251;261;257;253;280;255;253;280;unidades;1
1;Unidades locais;Águas de São Pedro;222;215;209;222;210;222;239;208;214;213;225;225;212;unidades;1
1;Unidades locais;Agudos;910;863;913;1108;1140;1120;1124;1197;1019;1106;941;1100;986;unidades;1
1;Unidades locais;Alambari;82;83;99;120;128;147;146;136;147;155;155;158;163;unidades;1
1;Unidades locais;Alfredo Marcondes;88;82;79;141;137;147;145;153;128;134;120;115;126;unidades;1
1;Unidades locais;Altair;92;42;145;145;128;179;152;163;145;153;144;145;132;unidades;1
1;Unidades locais;Altinópolis;630;603;625;919;934;909;849;865;707;784;784;803;689;unidades;1
1;Unidades locais;Alto Alegre;108;127;123;316;160;167;209;489;559;473;273;259;273;unidades;1
1;Unidades locais;Alumínio;331;290;323;372;353;350;320;322;302;308;302;268;270;unidades;1
1;Unidades locais;Álvares Florence;122;138;172;202;202;229;159;240;192;207;183;213;173;unidades;1
1;Unidades locais;Álvares Machado;671;748;740;843;871;722;720;759;723;759;740;714;750;unidades;1
1;Unidades locais;Álvaro de Carvalho;64;60;57;65;67;64;59;66;64;68;63;51;45;unidades;1
1;Unidades locais;Alvinlândia;79;78;89;118;123;119;114;106;99;106;103;88;98;unidades;1
1;Unidades locais;Americana;8979;9063;9551;9991;10471;10933;11317;11491;11974;11695;11498;11513;11713;unidades;1
1;Unidades locais;Américo Brasiliense;800;838;888;1016;964;1006;936;922;915;899;900;829;787;unidades;1
1;Unidades locais;Américo de Campos;204;186;218;222;342;228;243;279;252;235;232;239;207;unidades;1
1;Unidades locais;Amparo;2340;2420;2443;2912;3039;3046;3043;3025;2747;2825;2866;2854;2856;unidades;1
1;Unidades locais;Analândia;149;181;190;139;212;234;185;167;177;176;191;182;192;unidades;1
1;Unidades locais;Andradina;1949;1966;2128;2436;2541;2622;2532;2481;2326;2059;1901;2015;1898;unidades;1
1;Unidades locais;Angatuba;675;670;725;1633;1626;1547;1509;1337;1288;1194;1039;1078;844;unidades;1
1;Unidades locais;Anhembi;152;166;191;216;223;241;218;222;174;188;190;179;172;unidades;1
1;Unidades locais;Anhumas;90;89;89;87;109;105;103;111;106;116;111;118;114;unidades;1
1;Unidades locais;Aparecida;2112;2066;2008;2187;2294;2357;2325;2356;2162;2143;2121;2051;1932;unidades;1
1;Unidades locais;Aparecida d'Oeste;145;145;150;136;224;152;156;160;126;130;121;91;98;unidades;1
1;Unidades locais;Apiaí;636;572;660;893;1179;881;983;1027;891;957;895;843;848;unidades;1
1;Unidades locais;Araçariguama;494;545;631;713;554;671;777;835;799;773;705;758;593;unidades;1
1;Unidades locais;Araçatuba;7265;7173;7485;7754;8361;8396;8186;8453;8250;8362;8203;8264;8012;unidades;1
1;Unidades locais;Araçoiaba da Serra;794;823;810;893;919;895;841;1017;964;957;1050;1075;1083;unidades;1
1;Unidades locais;Aramina;161;171;186;212;230;239;253;246;179;207;214;168;193;unidades;1
1;Unidades locais;Arandu;171;137;150;140;222;213;182;201;177;177;139;153;138;unidades;1
1;Unidades locais;Arapeí;66;67;75;71;75;72;86;84;80;80;67;70;69;unidades;1
1;Unidades locais;Araraquara;8606;8607;9179;9439;9742;9783;9840;9939;9907;9769;9647;9325;9490;unidades;1
1;Unidades locais;Araras;3912;3971;4222;4568;4988;5207;5252;5462;5361;5232;5299;5233;5044;unidades;1
1;Unidades locais;Arco-Íris;39;46;54;46;52;53;60;56;57;51;55;45;38;unidades;1
1;Unidades locais;Arealva;208;199;208;652;769;595;661;752;637;640;686;679;704;unidades;1
1;Unidades locais;Areias;85;78;91;93;76;73;67;68;66;66;53;54;56;unidades;1
1;Unidades locais;Areiópolis;221;179;213;235;249;266;257;259;246;216;214;221;203;unidades;1
1;Unidades locais;Ariranha;346;381;397;415;392;424;402;402;368;391;363;347;314;unidades;1
1;Unidades locais;Artur Nogueira;1260;1274;1252;1972;1987;1926;1871;1882;1722;1796;1704;1724;1685;unidades;1
1;Unidades locais;Arujá;1539;1707;1816;1969;2115;2288;2267;2371;2158;2183;2095;2110;2107;unidades;1
1;Unidades locais;Aspásia;52;51;50;186;205;204;199;208;186;177;172;173;144;unidades;1
1;Unidades locais;Assis;3798;3669;3793;4327;4498;4712;4509;4653;4523;4365;4372;4295;4043;unidades;1
1;Unidades locais;Atibaia;4532;4524;5417;5706;5929;6002;6082;6269;6291;6193;5895;5984;6255;unidades;1
1;Unidades locais;Auriflama;495;573;943;1048;1134;1194;1068;1094;1018;895;988;979;936;unidades;1
1;Unidades locais;Avaí;93;94;96;115;117;143;138;118;104;96;100;103;93;unidades;1
1;Unidades locais;Avanhandava;222;220;249;311;312;282;498;525;499;295;473;467;218;unidades;1
1;Unidades locais;Avaré;2804;2861;3025;3101;3513;3288;3292;3284;3146;3171;3075;2902;2963;unidades;1
1;Unidades locais;Bady Bassitt;678;730;763;742;749;806;811;904;807;800;720;665;726;unidades;1
1;Unidades locais;Balbinos;32;28;37;37;52;53;49;52;43;45;47;38;39;unidades;1
1;Unidades locais;Bálsamo;302;291;411;472;549;596;760;808;689;630;604;628;485;unidades;1
1;Unidades locais;Bananal;348;301;335;301;322;283;456;436;413;449;427;461;467;unidades;1
1;Unidades locais;Barão de Antonina;54;56;72;115;131;125;111;122;74;65;69;66;60;unidades;1
1;Unidades locais;Barbosa;127;147;182;219;223;178;217;271;216;183;175;121;173;unidades;1
1;Unidades locais;Bariri;1080;1069;1189;1250;1246;1176;1160;1292;1266;1279;1228;1222;1128;unidades;1
1;Unidades locais;Barra Bonita;1798;1703;1670;1937;2014;1749;1923;1810;1897;1818;1719;1590;1425;unidades;1
