"NR_ANO_ELEICAO";"CD_PAIS";"NM_PAIS";"SG_REGIAO";"NM_REGIAO";"SG_UF";"NM_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"QTD_ELEITORES";"QTD_ELEITORES_FEMININO";"QTD_ELEITORES_MASCULINO";"QTD_ELEITORES_NAOINFORMADO";"QTD_ELEITORES_MENOR16";"QTD_ELEITORES_16";"QTD_ELEITORES_17";"QTD_ELEITORES_18";"QTD_ELEITORES_19";"QTD_ELEITORES_20";"QTD_ELEITORES_21A24";"QTD_ELEITORES_25A29";"QTD_ELEITORES_30A34";"QTD_ELEITORES_35A39";"QTD_ELEITORES_40A44";"QTD_ELEITORES_45A49";"QTD_ELEITORES_50A54";"QTD_ELEITORES_55A59";"QTD_ELEITORES_60A64";"QTD_ELEITORES_65A69";"QTD_ELEITORES_70A74";"QTD_ELEITORES_75A79";"QTD_ELEITORES_80A84";"QTD_ELEITORES_85A89";"QTD_ELEITORES_90A94";"QTD_ELEITORES_95A99";"QTD_ELEITORES_MAIORIGUAL100";"QTD_ELEITORES_IDADEINVALIDO";"QTD_ELEITORES_IDADENAOSEAPLICA";"QTD_ELEITORES_IDADENAOINFORMADA";"QTD_ELEITORES_COMBIOMETRIA";"QTD_ELEITORES_SEMBIOMETRIA";"QTD_ELEITORES_DEFICIENTE";"QUANTITATIVO_NOMESOCIAL"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1120";"ACRELÂNDIA";"8809";"4322";"4487";"0";"0";"47";"113";"229";"225";"232";"890";"1033";"973";"1072";"831";"732";"608";"602";"419";"349";"217";"126";"74";"27";"8";"2";"0";"0";"0";"0";"8784";"25";"35";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1570";"ASSIS BRASIL";"5726";"2871";"2855";"0";"0";"42";"73";"133";"129";"163";"649";"763";"704";"675";"573";"434";"351";"282";"239";"194";"141";"87";"49";"27";"14";"4";"0";"0";"0";"0";"5712";"14";"13";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1058";"BRASILÉIA";"16041";"8247";"7794";"0";"0";"107";"249";"358";"435";"424";"1654";"1976";"1759";"1830";"1568";"1411";"1216";"899";"767";"591";"375";"216";"127";"57";"14";"4";"4";"0";"0";"0";"15905";"136";"92";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1007";"BUJARI";"8683";"4287";"4396";"0";"0";"84";"126";"204";"248";"268";"925";"988";"983";"1024";"895";"700";"581";"471";"448";"328";"190";"136";"49";"22";"11";"2";"0";"0";"0";"0";"8665";"18";"18";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1015";"CAPIXABA";"6832";"3324";"3508";"0";"0";"75";"139";"193";"240";"210";"721";"757";"681";"702";"654";"601";"541";"429";"355";"246";"139";"96";"27";"20";"5";"1";"0";"0";"0";"0";"6820";"12";"78";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1074";"CRUZEIRO DO SUL";"54600";"28609";"25991";"0";"0";"602";"1191";"1602";"1781";"1840";"6320";"6740";"6529";"6611";"5090";"4121";"3114";"2531";"2060";"1653";"1187";"835";"444";"209";"99";"35";"6";"0";"0";"0";"54472";"128";"137";"1"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1112";"EPITACIOLÂNDIA";"10770";"5635";"5135";"0";"0";"95";"164";"266";"271";"297";"1115";"1221";"1218";"1150";"1056";"969";"781";"672";"516";"385";"276";"176";"80";"44";"11";"6";"0";"1";"0";"0";"10741";"29";"58";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1139";"FEIJÓ";"20565";"10088";"10476";"1";"0";"238";"412";"594";"669";"681";"2412";"2555";"2323";"2214";"1853";"1519";"1261";"987";"777";"622";"481";"393";"231";"178";"99";"55";"6";"5";"0";"0";"9481";"11084";"74";"1"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1104";"JORDÃO";"4793";"2211";"2582";"0";"0";"43";"82";"145";"194";"209";"647";"710";"556";"554";"402";"334";"235";"174";"153";"97";"70";"60";"37";"44";"23";"16";"7";"1";"0";"0";"2307";"2486";"2";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1554";"MANOEL URBANO";"6793";"3231";"3562";"0";"0";"69";"106";"191";"211";"211";"806";"847";"768";"794";"615";"503";"404";"312";"296";"184";"156";"105";"87";"65";"47";"13";"2";"1";"0";"0";"1460";"5333";"15";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1040";"MARECHAL THAUMATURGO";"9530";"4449";"5081";"0";"0";"137";"224";"294";"327";"344";"1272";"1352";"1191";"1109";"792";"617";"460";"384";"300";"216";"165";"144";"86";"62";"26";"16";"9";"3";"0";"0";"2174";"7356";"3";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1090";"MÂNCIO LIMA";"12429";"6178";"6250";"1";"0";"223";"271";"345";"431";"408";"1463";"1545";"1471";"1460";"1139";"890";"638";"580";"513";"339";"248";"215";"107";"52";"49";"30";"12";"0";"0";"0";"3641";"8788";"58";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1511";"PLÁCIDO DE CASTRO";"11461";"5786";"5675";"0";"0";"107";"219";"346";"340";"368";"1197";"1247";"1201";"1239";"1119";"907";"836";"732";"569";"432";"286";"168";"90";"46";"12";"0";"0";"0";"0";"0";"11447";"14";"73";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1023";"PORTO ACRE";"12299";"5931";"6368";"0";"0";"124";"164";"300";"378";"352";"1293";"1436";"1281";"1343";"1173";"1049";"871";"773";"673";"474";"305";"183";"78";"32";"14";"1";"1";"1";"0";"0";"12283";"16";"116";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1066";"PORTO WALTER";"6075";"2864";"3211";"0";"0";"105";"155";"247";"258";"261";"782";"805";"750";"719";"541";"413";"277";"243";"187";"126";"84";"62";"35";"14";"7";"3";"1";"0";"0";"0";"3124";"2951";"5";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1392";"RIO BRANCO";"255548";"136507";"119041";"0";"0";"1303";"2658";"5008";"5988";"6389";"27507";"31549";"31495";"31634";"25924";"21421";"18308";"14099";"11313";"8292";"5415";"3505";"2043";"1065";"452";"132";"43";"5";"0";"0";"254996";"552";"920";"12"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1082";"RODRIGUES ALVES";"11001";"5380";"5620";"1";"0";"167";"235";"396";"418";"415";"1390";"1398";"1309";"1280";"974";"786";"583";"462";"357";"291";"218";"139";"87";"63";"21";"8";"4";"0";"0";"0";"7941";"3060";"52";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1031";"SANTA ROSA DO PURUS";"3316";"1644";"1672";"0";"0";"66";"68";"98";"119";"93";"443";"478";"434";"364";"243";"223";"150";"137";"94";"109";"59";"45";"35";"29";"16";"5";"8";"0";"0";"0";"849";"2467";"3";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1457";"SENA MADUREIRA";"28328";"13983";"14344";"1";"0";"370";"457";"717";"823";"853";"3323";"3467";"3251";"3173";"2762";"2007";"1655";"1274";"1205";"881";"697";"528";"348";"235";"199";"72";"28";"3";"0";"0";"8661";"19667";"45";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1538";"SENADOR GUIOMARD";"17105";"8650";"8455";"0";"0";"134";"243";"412";"499";"528";"1828";"1984";"1946";"1975";"1658";"1451";"1198";"965";"803";"605";"400";"236";"143";"69";"21";"4";"2";"1";"0";"0";"17063";"42";"71";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1473";"TARAUACÁ";"25576";"12491";"13085";"0";"0";"266";"411";"753";"811";"855";"3127";"3344";"2992";"2899";"2203";"1773";"1485";"1233";"923";"768";"564";"444";"283";"226";"129";"74";"10";"3";"0";"0";"15868";"9708";"25";"0"
"2018";"1";"Brasil";"N";"Norte";"AC";"Acre";"1490";"XAPURI";"11400";"5583";"5817";"0";"0";"83";"168";"282";"300";"340";"1355";"1347";"1252";"1282";"1048";"882";"804";"656";"543";"414";"291";"184";"94";"58";"14";"3";"0";"0";"0";"0";"11392";"8";"66";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27030";"ANADIA";"12613";"6648";"5965";"0";"0";"79";"150";"228";"307";"309";"1249";"1382";"1353";"1335";"1142";"1001";"1000";"817";"706";"532";"448";"258";"204";"70";"28";"12";"3";"0";"0";"0";"12586";"27";"89";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27057";"ARAPIRACA";"141054";"77869";"63185";"0";"0";"490";"1299";"2475";"2994";"3222";"14272";"16231";"16385";"16059";"14365";"11813";"11186";"8794";"7260";"5899";"4265";"2443";"1106";"380";"87";"18";"6";"5";"0";"0";"140640";"414";"177";"7"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27073";"ATALAIA";"30353";"15626";"14727";"0";"0";"190";"354";"636";"768";"818";"3261";"3428";"3477";"3504";"2947";"2524";"2127";"1849";"1540";"1221";"832";"465";"241";"113";"37";"12";"2";"7";"0";"0";"30341";"12";"106";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27090";"BARRA DE SANTO ANTÔNIO";"11460";"5951";"5509";"0";"0";"27";"61";"265";"321";"345";"1331";"1349";"1392";"1284";"1216";"985";"826";"654";"571";"372";"245";"123";"63";"20";"9";"0";"1";"0";"0";"0";"11437";"23";"35";"1"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27111";"BARRA DE SÃO MIGUEL";"6465";"3346";"3119";"0";"0";"28";"48";"94";"147";"138";"653";"778";"769";"848";"716";"569";"482";"429";"282";"223";"138";"68";"41";"10";"4";"0";"0";"0";"0";"0";"6458";"7";"13";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27138";"BATALHA";"12173";"6468";"5705";"0";"0";"99";"202";"292";"322";"303";"1314";"1477";"1466";"1326";"1096";"902";"917";"735";"574";"440";"364";"201";"87";"40";"10";"2";"3";"1";"0";"0";"12153";"20";"52";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27170";"BELO MONTE";"5134";"2611";"2523";"0";"0";"40";"60";"152";"143";"135";"622";"624";"581";"507";"447";"370";"423";"316";"242";"175";"142";"91";"52";"10";"1";"1";"0";"0";"0";"0";"5125";"9";"21";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27154";"BELÉM";"4796";"2477";"2319";"0";"0";"42";"75";"122";"120";"129";"460";"532";"523";"477";"495";"374";"321";"284";"239";"198";"184";"108";"71";"28";"11";"3";"0";"0";"0";"0";"4793";"3";"21";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27197";"BOCA DA MATA";"19536";"10070";"9466";"0";"0";"115";"262";"396";"510";"527";"2016";"2140";"2146";"2141";"1949";"1664";"1457";"1187";"1090";"829";"517";"333";"166";"68";"15";"3";"4";"1";"0";"0";"19523";"13";"62";"3"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27219";"BRANQUINHA";"8057";"4059";"3998";"0";"0";"41";"70";"154";"239";"213";"925";"1045";"922";"914";"775";"670";"557";"445";"401";"284";"222";"116";"48";"10";"3";"1";"1";"1";"0";"0";"8029";"28";"40";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27235";"CACIMBINHAS";"8026";"4258";"3768";"0";"0";"58";"101";"191";"192";"203";"817";"843";"896";"839";"731";"665";"610";"517";"420";"378";"243";"184";"91";"33";"14";"0";"0";"0";"0";"0";"8022";"4";"9";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27251";"CAJUEIRO";"14260";"7492";"6768";"0";"0";"73";"118";"288";"383";"373";"1520";"1712";"1715";"1677";"1404";"1187";"1087";"822";"647";"531";"366";"196";"108";"43";"7";"1";"2";"0";"0";"0";"14178";"82";"35";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27081";"CAMPESTRE";"5250";"2663";"2587";"0";"0";"37";"51";"151";"169";"180";"642";"622";"583";"575";"518";"446";"344";"235";"228";"182";"130";"88";"46";"17";"6";"0";"0";"0";"0";"0";"5250";"0";"5";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27278";"CAMPO ALEGRE";"23928";"12476";"11452";"0";"0";"245";"429";"685";"705";"711";"2772";"2729";"2672";"2678";"2421";"1866";"1601";"1305";"1206";"883";"574";"287";"117";"37";"3";"1";"0";"1";"0";"0";"23903";"25";"196";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27294";"CAMPO GRANDE";"8148";"4184";"3964";"0";"0";"87";"138";"208";"252";"231";"922";"974";"920";"829";"728";"582";"555";"463";"416";"323";"226";"175";"73";"36";"6";"1";"2";"1";"0";"0";"8142";"6";"178";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27316";"CANAPI";"13116";"6783";"6333";"0";"0";"140";"204";"340";"360";"367";"1504";"1523";"1364";"1234";"1151";"980";"907";"781";"701";"568";"478";"288";"133";"59";"13";"11";"9";"1";"0";"0";"13079";"37";"27";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27332";"CAPELA";"12852";"6663";"6189";"0";"0";"87";"174";"268";"307";"350";"1348";"1382";"1482";"1521";"1321";"1081";"892";"750";"627";"496";"382";"231";"102";"35";"13";"1";"1";"1";"0";"0";"12790";"62";"93";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27359";"CARNEIROS";"6342";"3314";"3028";"0";"0";"42";"79";"201";"181";"212";"805";"806";"747";"660";"551";"442";"459";"331";"269";"182";"194";"103";"56";"14";"7";"0";"1";"0";"0";"0";"6340";"2";"10";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27375";"CHÃ PRETA";"5862";"2979";"2883";"0";"0";"69";"75";"147";"171";"150";"631";"643";"668";"684";"582";"450";"398";"321";"266";"225";"172";"123";"58";"19";"6";"3";"1";"0";"0";"0";"5858";"4";"40";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27391";"COITÉ DO NÓIA";"8380";"4296";"4084";"0";"0";"83";"130";"199";"195";"210";"917";"966";"915";"901";"747";"622";"657";"501";"426";"338";"279";"167";"79";"34";"9";"3";"1";"1";"0";"0";"8358";"22";"11";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27413";"COLÔNIA LEOPOLDINA";"14949";"7561";"7388";"0";"0";"212";"293";"399";"439";"452";"1637";"1706";"1587";"1680";"1482";"1166";"1021";"811";"693";"562";"406";"224";"121";"36";"15";"3";"2";"2";"0";"0";"14938";"11";"206";"1"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27430";"COQUEIRO SECO";"4547";"2336";"2211";"0";"0";"22";"39";"77";"105";"88";"431";"505";"567";"548";"492";"389";"365";"254";"256";"196";"113";"53";"33";"13";"0";"1";"0";"0";"0";"0";"4542";"5";"15";"1"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27456";"CORURIPE";"38411";"19891";"18520";"0";"0";"106";"277";"733";"858";"997";"4116";"4649";"4738";"4462";"3937";"3233";"2855";"2364";"1735";"1297";"960";"594";"338";"109";"36";"11";"4";"2";"0";"0";"38403";"8";"100";"1"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"28894";"CRAÍBAS";"17788";"9335";"8453";"0";"0";"172";"209";"391";"510";"461";"1914";"2247";"2080";"1939";"1622";"1361";"1285";"1085";"896";"708";"474";"258";"126";"38";"7";"0";"4";"1";"0";"0";"17731";"57";"16";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27472";"DELMIRO GOUVEIA";"37082";"19706";"17376";"0";"0";"189";"457";"761";"827";"873";"3852";"4302";"4475";"3979";"3490";"2985";"2735";"2221";"1838";"1556";"1164";"736";"407";"169";"53";"7";"5";"1";"0";"0";"37064";"18";"46";"1"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27499";"DOIS RIACHOS";"8522";"4279";"4243";"0";"0";"126";"143";"241";"251";"221";"997";"964";"914";"814";"794";"607";"594";"485";"433";"335";"249";"199";"97";"39";"9";"4";"4";"2";"0";"0";"8517";"5";"6";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27049";"ESTRELA DE ALAGOAS";"11620";"6175";"5445";"0";"0";"68";"126";"223";"263";"251";"1125";"1171";"1230";"1200";"1139";"862";"852";"776";"687";"614";"504";"294";"144";"71";"13";"4";"0";"3";"0";"0";"11606";"14";"23";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27510";"FEIRA GRANDE";"16909";"8825";"8084";"0";"0";"91";"205";"435";"401";"414";"1978";"1918";"2028";"1900";"1658";"1224";"1227";"999";"847";"645";"479";"283";"128";"32";"14";"2";"0";"1";"0";"0";"16866";"43";"62";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27537";"FELIZ DESERTO";"3416";"1788";"1628";"0";"0";"11";"20";"76";"78";"92";"400";"400";"398";"377";"325";"274";"251";"209";"171";"133";"94";"52";"32";"13";"7";"1";"2";"0";"0";"0";"3416";"0";"3";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27553";"FLEXEIRAS";"8469";"4372";"4097";"0";"0";"40";"92";"153";"227";"232";"995";"1000";"941";"913";"847";"724";"630";"490";"444";"321";"221";"126";"41";"21";"7";"3";"1";"0";"0";"0";"8462";"7";"38";"1"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27570";"GIRAU DO PONCIANO";"25339";"13201";"12138";"0";"0";"147";"329";"635";"725";"672";"2876";"3030";"2997";"2702";"2410";"1744";"1818";"1427";"1289";"1002";"763";"424";"227";"88";"26";"4";"4";"0";"0";"0";"25322";"17";"471";"2"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27596";"IBATEGUARA";"10722";"5479";"5243";"0";"0";"79";"92";"254";"304";"352";"1320";"1269";"1215";"1193";"1006";"814";"730";"630";"563";"405";"237";"168";"63";"18";"5";"3";"2";"0";"0";"0";"10715";"7";"13";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27618";"IGACI";"19259";"10131";"9128";"0";"0";"138";"214";"398";"433";"446";"1890";"2189";"2267";"2126";"1794";"1447";"1398";"1191";"1111";"925";"704";"376";"152";"49";"9";"0";"2";"0";"0";"0";"19220";"39";"301";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27634";"IGREJA NOVA";"16758";"8479";"8279";"0";"0";"93";"193";"355";"423";"418";"1761";"2121";"2092";"1842";"1572";"1336";"1173";"1046";"863";"631";"397";"236";"126";"59";"12";"6";"1";"2";"0";"0";"16751";"7";"14";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27650";"INHAPI";"12301";"6560";"5741";"0";"0";"97";"182";"284";"358";"304";"1503";"1389";"1352";"1161";"1064";"894";"942";"725";"658";"514";"431";"246";"124";"46";"16";"8";"2";"1";"0";"0";"12266";"35";"23";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27677";"JACARÉ DOS HOMENS";"4766";"2466";"2300";"0";"0";"58";"69";"120";"129";"140";"531";"583";"564";"497";"415";"369";"349";"288";"236";"163";"140";"61";"32";"19";"0";"0";"2";"1";"0";"0";"4762";"4";"20";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27693";"JACUÍPE";"5384";"2633";"2751";"0";"0";"59";"80";"156";"156";"159";"600";"623";"636";"600";"530";"444";"347";"304";"236";"170";"148";"94";"26";"10";"3";"2";"1";"0";"0";"0";"5382";"2";"6";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27715";"JAPARATINGA";"6323";"3215";"3108";"0";"0";"46";"67";"146";"142";"148";"642";"775";"723";"766";"707";"507";"419";"383";"333";"206";"156";"96";"37";"16";"3";"3";"1";"1";"0";"0";"6317";"6";"18";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27731";"JARAMATAIA";"4636";"2351";"2285";"0";"0";"64";"81";"101";"101";"123";"476";"583";"543";"478";"424";"367";"360";"278";"214";"158";"140";"89";"31";"19";"5";"1";"0";"0";"0";"0";"4634";"2";"10";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27065";"JEQUIÁ DA PRAIA";"7264";"3585";"3679";"0";"0";"41";"71";"159";"204";"168";"766";"813";"866";"923";"777";"633";"498";"429";"332";"259";"174";"94";"41";"14";"2";"0";"0";"0";"0";"0";"7256";"8";"27";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27758";"JOAQUIM GOMES";"13423";"6860";"6563";"0";"0";"136";"268";"313";"396";"408";"1447";"1555";"1523";"1567";"1312";"1055";"963";"799";"698";"464";"275";"150";"65";"19";"4";"3";"3";"0";"0";"0";"13417";"6";"81";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27774";"JUNDIÁ";"4185";"2048";"2137";"0";"0";"38";"52";"106";"104";"136";"506";"501";"481";"435";"398";"347";"306";"199";"208";"150";"105";"62";"37";"7";"2";"4";"1";"0";"0";"0";"4184";"1";"5";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27790";"JUNQUEIRO";"18963";"9756";"9207";"0";"0";"143";"254";"401";"424";"472";"2092";"2119";"2255";"2100";"1828";"1463";"1351";"1106";"940";"749";"560";"375";"217";"85";"18";"7";"4";"0";"0";"0";"18954";"9";"86";"5"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27812";"LAGOA DA CANOA";"14189";"7463";"6726";"0";"0";"138";"226";"368";"375";"341";"1501";"1635";"1643";"1467";"1330";"1059";"1039";"825";"708";"652";"454";"266";"100";"43";"11";"4";"2";"2";"0";"0";"14163";"26";"17";"0"
"2018";"1";"Brasil";"NE";"Nordeste";"AL";"Alagoas";"27839";"LIMOEIRO DE ANADIA";"17625";"9321";"8304";"0";"0";"125";"223";"412";"448";"477";"2060";"2040";"2237";"1947";"1600";"1339";"1217";"983";"855";"692";"502";"287";"121";"49";"7";"2";"1";"1";"0";"0";"17606";"19";"28";"1"
